epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,14374.2,0.94115,1.99564,0.90795,1.08125,0,0.73531,0.57363,0.62743,0.45396,0.72495,0.54039,0.58126,0.34117,0.94936,1.94163,0.89864,1.08867,0,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,14656.9,0.92839,1.97139,0.89495,1.07513,0,0.74368,0.57095,0.62858,0.458,0.71811,0.54112,0.5796,0.33972,0.94943,1.91532,0.89486,1.08937,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,14941.7,0.93565,1.98436,0.90168,1.07779,0,0.73256,0.58605,0.6276,0.45504,0.71648,0.5481,0.57802,0.33874,0.95075,1.93839,0.90582,1.08855,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,15223.8,0.92472,1.97003,0.88507,1.07889,0,0.72961,0.59014,0.63157,0.45996,0.70965,0.54898,0.57938,0.34344,0.94414,1.89395,0.89216,1.07623,0,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,15511.2,0.91973,1.96932,0.88122,1.07148,0,0.72935,0.58369,0.63231,0.46054,0.72579,0.54127,0.58077,0.34444,0.93644,1.9062,0.89053,1.07732,0,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,15797,0.9188,1.95885,0.88197,1.06975,0,0.72432,0.57891,0.62947,0.46067,0.696,0.54678,0.57821,0.34342,0.94267,1.90823,0.89113,1.0796,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,16079.3,0.91971,1.96267,0.87841,1.06984,0,0.75523,0.57033,0.63161,0.45905,0.72937,0.54083,0.58439,0.34537,0.93756,1.90822,0.89549,1.07612,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,16364,0.91149,1.93712,0.86224,1.06446,0,0.73925,0.58662,0.63422,0.46343,0.72212,0.552,0.58636,0.34762,0.92842,1.90704,0.88947,1.06707,0,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,16647.2,0.90698,1.92848,0.86375,1.06351,0,0.72396,0.58794,0.63153,0.46325,0.70664,0.55301,0.58069,0.3457,0.92681,1.92759,0.89111,1.06974,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,16929.5,0.90899,1.94796,0.86686,1.06257,0,0.74506,0.57803,0.63113,0.46167,0.71641,0.5558,0.58798,0.34705,0.92547,1.91428,0.88702,1.06967,0,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,17212.9,0.91392,1.90807,0.85826,1.06549,0,0.74845,0.57437,0.6333,0.46547,0.73184,0.54788,0.58793,0.34666,0.92293,1.89849,0.88159,1.06718,0,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,17498.5,0.89844,1.9249,0.85328,1.06077,0,0.73135,0.59454,0.63655,0.46679,0.70654,0.55911,0.57944,0.34449,0.92994,1.92461,0.88161,1.07193,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,17781.5,0.90326,1.93083,0.85751,1.06205,0,0.74126,0.58618,0.63672,0.46756,0.71922,0.552,0.57929,0.3446,0.92486,1.92605,0.87287,1.07442,0,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,18067.1,0.89228,1.89027,0.83982,1.0578,0,0.75636,0.58662,0.63752,0.46787,0.72422,0.55558,0.58578,0.34801,0.92597,1.93306,0.87593,1.0734,0,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,18352.7,0.8818,1.8764,0.83061,1.05103,0,0.7405,0.59432,0.63671,0.46759,0.71496,0.558,0.58367,0.34894,0.9296,1.92465,0.87328,1.07329,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,18639.4,0.89001,1.89397,0.84265,1.05619,0,0.73095,0.59442,0.63603,0.46916,0.70651,0.56328,0.58675,0.3517,0.92177,1.94069,0.86687,1.06527,0,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,18922.8,0.87982,1.86798,0.82183,1.04694,0,0.74122,0.593,0.63505,0.46902,0.71721,0.5605,0.58658,0.35109,0.92133,1.95349,0.86685,1.06876,0,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,19207.7,0.88116,1.87863,0.82511,1.05074,0,0.7429,0.58662,0.63296,0.46829,0.7184,0.558,0.58373,0.34929,0.91549,1.92945,0.87643,1.06848,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,328.129,0.86201,1.83693,0.80141,1.03983,0,0.74706,0.58447,0.63334,0.46704,0.72088,0.55492,0.58585,0.35083,0.91384,1.92815,0.87679,1.06572,0,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,600.559,0.86468,1.85398,0.80915,1.03979,0,0.7332,0.5875,0.63273,0.46701,0.69749,0.55888,0.57928,0.34955,0.91425,1.92487,0.87325,1.06413,0,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,872.163,0.86587,1.84848,0.80686,1.042,0,0.72999,0.59168,0.63443,0.47012,0.69951,0.56262,0.58123,0.35095,0.90757,1.92319,0.85743,1.05852,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,1150.48,0.86409,1.83941,0.80923,1.04109,0,0.72724,0.59982,0.63565,0.46846,0.70014,0.56835,0.58428,0.35068,0.90567,1.92508,0.86126,1.05961,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,1422.57,0.87276,1.87192,0.81396,1.04293,0,0.75871,0.58089,0.63542,0.46889,0.72936,0.55822,0.58898,0.35114,0.91099,1.92562,0.86662,1.06563,0,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,1691.09,0.87124,1.84351,0.81008,1.03969,0,0.75175,0.59192,0.63733,0.47039,0.72128,0.56792,0.58956,0.35384,0.91502,1.9195,0.86738,1.06903,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,1961.74,0.86433,1.8494,0.80341,1.04243,0,0.73791,0.60026,0.63742,0.47153,0.71711,0.56748,0.58822,0.35083,0.9096,1.90905,0.86976,1.0632,0,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,2234.36,0.85978,1.84247,0.79913,1.03734,0,0.74008,0.60293,0.63678,0.47163,0.70403,0.57297,0.58256,0.35059,0.90902,1.92423,0.86374,1.06719,0,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,2518.21,0.8579,1.84288,0.79731,1.03644,0,0.74889,0.59608,0.63671,0.47162,0.71818,0.56527,0.58617,0.3515,0.90794,1.92974,0.86558,1.06865,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,2795.73,0.85117,1.82479,0.78447,1.03642,0,0.75264,0.59212,0.63469,0.46979,0.72355,0.56394,0.58378,0.35007,0.90798,1.93526,0.87278,1.06517,0,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,3066.67,0.84721,1.81868,0.78602,1.03406,0,0.74547,0.59784,0.63383,0.46976,0.71326,0.56945,0.58515,0.35149,0.90974,1.92732,0.87534,1.066,0,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,3334.7,0.84569,1.81586,0.77741,1.03088,0,0.73162,0.60664,0.63226,0.46758,0.7213,0.56571,0.58188,0.35041,0.90694,1.93198,0.88095,1.06708,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,3602.8,0.84614,1.80585,0.77098,1.02997,0,0.73434,0.60357,0.63092,0.46619,0.70702,0.57671,0.58183,0.34924,0.90423,1.93139,0.8811,1.06397,0,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,3874.02,0.84789,1.82176,0.78241,1.02814,0,0.7482,0.59389,0.63162,0.46679,0.71686,0.56902,0.58319,0.35024,0.90573,1.92376,0.87894,1.06863,0,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,4143.87,0.83809,1.78254,0.76899,1.02478,0,0.74231,0.59858,0.63342,0.46788,0.71604,0.56727,0.58361,0.35133,0.90314,1.91964,0.87747,1.06698,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,4413.72,0.83296,1.78004,0.75949,1.02287,0,0.75741,0.5875,0.63381,0.46734,0.72568,0.56108,0.58417,0.35129,0.89897,1.92477,0.87932,1.06265,0,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,4680.64,0.83516,1.7985,0.76149,1.02185,0,0.74702,0.59993,0.63283,0.46768,0.72155,0.5704,0.58692,0.35215,0.90018,1.92374,0.8746,1.06582,0,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,4946.73,0.82832,1.78781,0.76766,1.02286,0,0.74174,0.60467,0.63424,0.46805,0.70914,0.57517,0.58468,0.35332,0.90298,1.93169,0.87235,1.07024,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,5213.23,0.8288,1.76991,0.75674,1.01999,0,0.7338,0.60907,0.63466,0.46824,0.7192,0.56813,0.58277,0.35244,0.90598,1.92747,0.8711,1.074,0,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,5479.26,0.83088,1.76267,0.7562,1.02043,0,0.73497,0.61039,0.63444,0.46828,0.71295,0.57517,0.58445,0.35236,0.90452,1.92899,0.87284,1.07204,0,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,5751.91,0.82383,1.75579,0.74472,1.01528,0,0.73844,0.60533,0.6348,0.46906,0.72164,0.56952,0.58247,0.35297,0.90605,1.93833,0.87462,1.07192,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,6022.86,0.81398,1.73662,0.7375,1.01487,0,0.74875,0.59564,0.63465,0.46919,0.72502,0.56483,0.58473,0.35333,0.90762,1.93809,0.87286,1.07348,0,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,6293.75,0.80957,1.7473,0.73689,1.01325,0,0.74736,0.59498,0.63409,0.46855,0.72688,0.56901,0.58632,0.35334,0.90573,1.9362,0.87258,1.07182,0,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,6568.08,0.81135,1.74923,0.73586,1.01275,0,0.74901,0.59712,0.63427,0.46926,0.72779,0.56813,0.58443,0.35263,0.90606,1.93647,0.87222,1.07227,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,6840.36,0.81537,1.72621,0.73702,1.01102,0,0.74858,0.59704,0.63465,0.47019,0.73173,0.56571,0.5835,0.35376,0.90223,1.92906,0.87198,1.06844,0,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,7112.89,0.80915,1.73243,0.73325,1.00934,0,0.74575,0.59982,0.63403,0.46884,0.72942,0.56438,0.58205,0.35291,0.90131,1.93224,0.86857,1.06985,0,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,7380.68,0.80458,1.7266,0.73308,1.01217,0,0.74399,0.60026,0.63325,0.46915,0.73134,0.56385,0.58504,0.35396,0.90032,1.92684,0.86826,1.07044,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,7647.55,0.80331,1.72859,0.72824,1.01041,0,0.74453,0.60044,0.63275,0.4683,0.72866,0.56393,0.58308,0.35311,0.90184,1.93151,0.866,1.07287,0,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,7914.59,0.79445,1.6946,0.71251,1.00639,0,0.74227,0.59806,0.63179,0.46822,0.71784,0.56784,0.58485,0.35376,0.9016,1.94228,0.86688,1.07304,0,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,8180.47,0.79389,1.69607,0.70218,1.00661,0,0.74497,0.59476,0.63158,0.46799,0.71898,0.57049,0.58456,0.35319,0.90082,1.9503,0.86767,1.07111,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,8447.75,0.78905,1.68975,0.71056,1.00439,0,0.74683,0.59674,0.63178,0.46875,0.72116,0.57231,0.58524,0.35417,0.89887,1.95069,0.86816,1.07,0,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,8721.79,0.79183,1.6929,0.70721,1.00104,0,0.75497,0.59388,0.63189,0.46914,0.72806,0.56747,0.58418,0.35383,0.89829,1.94851,0.86754,1.06961,0,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,8993.01,0.79005,1.68084,0.70897,1.00258,0,0.75836,0.59058,0.63253,0.46936,0.72964,0.56438,0.5838,0.35378,0.8979,1.95277,0.86738,1.06943,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
